"portal__organization","event__timestamp_day","event__visitors","event__visits","view__watched_sec","question__count","question__adhoc_count","question__recommended_count","question__topic_count","portal__timezone"
"test","2020-02-05 00:00:00.000","1","2","","0","0","0","0","America/New_York"
"test","2020-02-06 00:00:00.000","1","2","49","2","0","2","0","America/New_York"
"test","2020-02-08 00:00:00.000","9","28","1490","60","4","35","21","America/New_York"
"test","2020-02-09 00:00:00.000","18","46","4164","4","1","3","0","America/New_York"
"test","2020-02-10 00:00:00.000","30","65","10898","110","3","101","6","America/New_York"
"test","2020-02-11 00:00:00.000","34","76","4764","46","5","38","3","America/New_York"
"test","2020-02-12 00:00:00.000","31","64","6038","31","0","30","1","America/New_York"
"test","2020-02-13 00:00:00.000","19","38","1699","5","0","4","1","America/New_York"
"test","2020-02-14 00:00:00.000","15","33","2988","14","1","11","2","America/New_York"
"test","2020-02-15 00:00:00.000","2","4","1498","11","0","11","0","America/New_York"
"test","2020-02-16 00:00:00.000","8","14","1241","1","0","1","0","America/New_York"
"test","2020-02-17 00:00:00.000","20","43","3281","38","1","36","1","America/New_York"
"test","2020-02-18 00:00:00.000","27","56","5271","30","0","30","0","America/New_York"
"test","2020-02-19 00:00:00.000","16","32","4790","40","2","33","5","America/New_York"
"test","2020-02-20 00:00:00.000","23","50","4443","34","1","25","8","America/New_York"
"test","2020-02-24 00:00:00.000","41","83","5179","25","1","22","2","America/New_York"
"test","2020-02-25 00:00:00.000","23","50","7975","45","4","39","2","America/New_York"
"test","2020-02-26 00:00:00.000","11","22","3633","46","0","43","3","America/New_York"
"test","2020-02-27 00:00:00.000","23","54","3748","29","0","29","0","America/New_York"
"test","2020-02-28 00:00:00.000","10","21","3059","6","0","6","0","America/New_York"
"test","2020-02-29 00:00:00.000","5","10","1375","1","0","1","0","America/New_York"
